ordem,coluna,tipo,registros_total,registros_preenchidos,percentual_preenchido
277,IN_ESP_EXCLUSIVA_FUND_AI,float64,214192,180540,84.29
278,IN_ESP_EXCLUSIVA_FUND_AF,float64,214192,180540,84.29
279,IN_ESP_EXCLUSIVA_MEDIO_MEDIO,float64,214192,180540,84.29
280,IN_ESP_EXCLUSIVA_MEDIO_INTEGR,float64,214192,180540,84.29
281,IN_ESP_EXCLUSIVA_MEDIO_FIC,float64,214192,180540,84.29
282,IN_ESP_EXCLUSIVA_MEDIO_NORMAL,float64,214192,180540,84.29
283,IN_COMUM_EJA_FUND,float64,214192,180540,84.29
284,IN_COMUM_EJA_MEDIO,float64,214192,180540,84.29
285,IN_COMUM_EJA_PROF,float64,214192,180540,84.29
286,IN_ESP_EXCLUSIVA_EJA_FUND,float64,214192,180540,84.29
287,IN_ESP_EXCLUSIVA_EJA_MEDIO,float64,214192,180540,84.29
288,IN_ESP_EXCLUSIVA_EJA_PROF,float64,214192,180540,84.29
289,IN_COMUM_PROF,float64,214192,180540,84.29
290,IN_ESP_EXCLUSIVA_PROF,float64,214192,180540,84.29
